# frequency power
1.269161034369187746e+03 8.066434770274358984e-03
1.272457556536380480e+03 9.217330774122345360e-03
1.275754078703573214e+03 1.003040564085626134e-02
1.279050600870765948e+03 1.038822150838537503e-02
1.282347123037958681e+03 8.936800847515165638e-03
1.285643645205151188e+03 5.077540821298794776e-03
1.288940167372343922e+03 1.536360131783947322e-03
1.292236689539536656e+03 1.927800883508428006e-03
1.295533211706729389e+03 6.415717226651827115e-03
1.298829733873922123e+03 1.124203354474053070e-02
1.302126256041114630e+03 1.312024562073354356e-02
1.305422778208307363e+03 1.246232849926372926e-02
1.308719300375500097e+03 1.204257166585741105e-02
1.312015822542692831e+03 1.356992569525108938e-02
1.315312344709885565e+03 1.504449842952735629e-02
1.318608866877078299e+03 1.319885377863603583e-02
1.321905389044270805e+03 9.175753632371448643e-03
1.325201911211463539e+03 8.963305710578683971e-03
1.328498433378656273e+03 1.519647343700868992e-02
1.331794955545849007e+03 2.155777235822305821e-02
1.335091477713041741e+03 2.078551905742831440e-02
1.338387999880234474e+03 1.306792500978148745e-02
1.341684522047426981e+03 5.227837243776317644e-03
1.344981044214619715e+03 5.645635526382608918e-03
1.348277566381812449e+03 1.541618694910908659e-02
1.351574088549005182e+03 2.528123092698188884e-02
1.354870610716197916e+03 2.558922487035161092e-02
1.358167132883390650e+03 1.627788076944130385e-02
1.361463655050583156e+03 5.638736995911788896e-03
1.364760177217775890e+03 6.406749648180282445e-04
1.368056699384968624e+03 9.553723972482744365e-04
1.371353221552161358e+03 2.010059966326166458e-03
1.374649743719354092e+03 1.422629287118867001e-03
1.377946265886546826e+03 1.431002989057409769e-03
1.381242788053739332e+03 4.319099909139804960e-03
1.384539310220932066e+03 8.258718865644058132e-03
1.387835832388124800e+03 9.026376510847273354e-03
1.391132354555317534e+03 5.001005849072251951e-03
1.394428876722510267e+03 5.002097472785528879e-04
1.397725398889703001e+03 2.149162499080788449e-03
1.401021921056895508e+03 1.192158370131589200e-02
1.404318443224088242e+03 2.491225295537198570e-02
1.407614965391280975e+03 3.407860597890629423e-02
1.410911487558473709e+03 3.570511044444130144e-02
1.414208009725666443e+03 2.953341657889403671e-02
1.417504531892859177e+03 1.830073437980300755e-02
1.420801054060051683e+03 7.564859233552326083e-03
1.424097576227244417e+03 1.546252933743579982e-03
1.427394098394437151e+03 6.163883531212563513e-04
1.430690620561629885e+03 2.742802690466691548e-03
1.433987142728822619e+03 5.311117949067198710e-03
1.437283664896015352e+03 6.826564076364549476e-03
1.440580187063207859e+03 7.510986720115624994e-03
1.443876709230400593e+03 8.363344880403208656e-03
